artist.name,title,terms,song_num,artist.hotttnesss,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,latitude,longitude,loudness,mode,start_of_fade_out,tatums_start,tempo,time_signature,year
Casual,I Didn't Mean To,hip hop,1,0.401997543,0.58521,0.58521,218.93179,0.247,0.581793766,1,37.15735675,-63.93335787,-11.197,0,218.932,0.28519,92.198,4,0
The Box Tops,Soul Deep,blue-eyed soul,2,0.417499645,0.71054,0.20627,148.03546,0.148,0.630630038,6,35.14968,-90.04892,-9.843,0,137.915,0.20627,121.274,4,1969
Sonora Santanera,Amor De Cabaret,salsa,3,0.343428378,0.73152,0.73152,177.47546,0.282,0.487356791,8,37.15735675,-63.93335787,-9.689,1,172.304,0.42132,100.07,1,0
Adam Ant,Something Girls,pop rock,4,0.454231157,1.30621,0.81002,233.40363,0,0.630382334,0,37.15735675,-63.93335787,-9.013,1,217.124,0.56254,119.293,4,1982
Gob,Face the Ashes,pop punk,5,0.401723686,1.06368,0.13576,209.60608,0.066,0.651045661,2,37.15735675,-63.93335787,-4.501,1,198.699,0.13576,129.738,4,2007
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),southern gospel,6,0.385470551,1.17118,0.74856,267.7024,2.264,0.535292736,5,37.15735675,-63.93335787,-9.323,1,254.27,0.53929,147.782,3,0
Rated R,Keepin It Real (Skit),breakbeat,7,0.261941177,0.27253,0.27253,114.78159,0.096,0.556495602,1,37.15735675,-63.93335787,-17.302,1,114.782,0.05611,111.787,1,0
Tweeterfriendly Music,Drop of Rain,post-hardcore,8,0.605507136,0.65428,0.65428,189.57016,0.319,0.801136447,4,37.15735675,-63.93335787,-11.642,0,181.023,0.36129,101.43,3,0
Planet P Project,Pink World,new wave,9,0.332275747,1.91886,1.22595,269.81832,5.3,0.426667857,4,37.15735675,-63.93335787,-13.496,1,258.99,1.22595,86.643,4,1984
Clp,Insatiable (Instrumental Version),breakcore,10,0.422705641,0.62445,0.09933,266.39628,0.084,0.550513698,7,37.15735675,-63.93335787,-6.697,0,261.747,0.09933,114.041,4,0
JennyAnyKind,Young Boy Blues,alternative rock,11,0.296268954,0.11194,0.11194,218.77506,2.125,0.360031167,5,35.21962,-80.01955,-10.021,0,207.012,0.11194,146.765,1,0
Wayne Watson,The Urgency (LP Version),ccm,12,0.351555861,1.45439,0.42896,245.21098,0.357,0.545159296,7,37.15735675,-63.93335787,-7.545,1,227.48,0.1727,117.975,4,0
Andy Andy,La Culpa,bachata,13,0.37948217,1.2229,0.29639,226.35057,0,0.577508974,9,37.15735675,-63.93335787,-6.632,1,221.553,0.06508,130.04,4,0
Bob Azzam,Auguri Cha Cha,,14,0.251936525,0.46223,0.46223,191.84281,0.38,0.085512047,10,37.15735675,-63.93335787,-7.75,0,188.424,0.23506,137.334,1,0
Lionel Richie,Tonight Will Be Alright,quiet storm,15,0.553071992,0.82842,0.82842,307.3824,0.612,0.776675856,3,37.15735675,-63.93335787,-8.346,1,296.658,0.58901,125.197,3,1986
